date,createdAt,timestamp,context,value
2024-05-13 18:04:17.767000-06:00,1715645057767,1715645057767,{},37.0
2024-05-13 18:04:16.734000-06:00,1715645056734,1715645056734,{},37.0
2024-05-13 18:04:15.660000-06:00,1715645055660,1715645055660,{},37.0
2024-05-13 18:04:14.646000-06:00,1715645054646,1715645054646,{},37.0
2024-05-13 18:04:13.592000-06:00,1715645053592,1715645053592,{},37.0
2024-05-13 18:04:12.436000-06:00,1715645052436,1715645052436,{},36.0
2024-05-13 18:04:11.527000-06:00,1715645051527,1715645051527,{},37.0
2024-05-13 18:04:10.504000-06:00,1715645050504,1715645050504,{},37.0
2024-05-13 18:04:09.467000-06:00,1715645049467,1715645049467,{},37.0
2024-05-13 18:04:08.409000-06:00,1715645048409,1715645048409,{},37.0
2024-05-13 18:04:07.395000-06:00,1715645047395,1715645047395,{},37.0
2024-05-13 18:04:06.336000-06:00,1715645046336,1715645046336,{},37.0
2024-05-13 18:04:05.315000-06:00,1715645045315,1715645045315,{},37.0
2024-05-13 18:04:04.294000-06:00,1715645044294,1715645044294,{},37.0
2024-05-13 18:04:03.246000-06:00,1715645043246,1715645043246,{},36.0
2024-05-13 18:04:02.204000-06:00,1715645042204,1715645042204,{},36.0
2024-05-13 18:04:01.209000-06:00,1715645041209,1715645041209,{},37.0
2024-05-13 18:04:00.138000-06:00,1715645040138,1715645040138,{},37.0
2024-05-13 18:03:59.113000-06:00,1715645039113,1715645039113,{},37.0
2024-05-13 18:03:58.040000-06:00,1715645038040,1715645038040,{},37.0
2024-05-13 18:03:57.002000-06:00,1715645037002,1715645037002,{},37.0
2024-05-13 18:03:55.966000-06:00,1715645035966,1715645035966,{},37.0
2024-05-13 18:03:54.944000-06:00,1715645034944,1715645034944,{},37.0
2024-05-13 18:03:53.898000-06:00,1715645033898,1715645033898,{},37.0
2024-05-13 18:03:52.876000-06:00,1715645032876,1715645032876,{},37.0
2024-05-13 18:03:51.838000-06:00,1715645031838,1715645031838,{},37.0
2024-05-13 18:03:50.801000-06:00,1715645030801,1715645030801,{},37.0
2024-05-13 18:03:49.790000-06:00,1715645029790,1715645029790,{},37.0
2024-05-13 18:03:48.581000-06:00,1715645028581,1715645028581,{},36.0
2024-05-13 18:03:47.670000-06:00,1715645027670,1715645027670,{},37.0
2024-05-13 18:03:46.660000-06:00,1715645026660,1715645026660,{},37.0
2024-05-13 18:03:45.598000-06:00,1715645025598,1715645025598,{},36.0
2024-05-13 18:03:44.602000-06:00,1715645024602,1715645024602,{},37.0
2024-05-13 18:03:43.587000-06:00,1715645023587,1715645023587,{},37.0
2024-05-13 18:03:42.528000-06:00,1715645022528,1715645022528,{},36.0
2024-05-13 18:03:41.453000-06:00,1715645021453,1715645021453,{},37.0
2024-05-13 18:03:40.442000-06:00,1715645020442,1715645020442,{},36.0
